v_air,rh,t_monthly,season,optimal_t_set,pmv_hat
0.5,45.0,20.0,Summer,26.5,0.01614145189523697
0.5,45.0,20.0,Winter,26.5,-0.02969667688012123
0.5,45.0,20.0,Spring,27.0,0.05053088814020157
0.5,45.0,20.0,Autumn,26.5,-0.08851295709609985
0.5,45.0,25.0,Summer,26.5,0.017735816538333893
0.5,45.0,25.0,Winter,26.0,-0.013550493866205215
0.5,45.0,25.0,Spring,26.5,0.03599616885185242
0.5,45.0,25.0,Autumn,26.5,0.036708638072013855
0.5,45.0,30.0,Summer,26.0,-0.06320348381996155
0.5,45.0,30.0,Winter,26.0,0.009761478751897812
0.5,45.0,30.0,Spring,26.0,0.01832219399511814
0.5,45.0,30.0,Autumn,26.0,-0.05447831377387047
0.5,45.0,35.0,Summer,26.0,0.026056839153170586
0.5,45.0,35.0,Winter,26.0,0.058312833309173584
0.5,45.0,35.0,Spring,26.0,0.05074174702167511
0.5,45.0,35.0,Autumn,26.0,0.0440065860748291
0.5,45.0,40.0,Summer,26.0,0.1506960242986679
0.5,45.0,40.0,Winter,25.5,-0.026119250804185867
0.5,45.0,40.0,Spring,25.5,-0.0945138931274414
0.5,45.0,40.0,Autumn,25.5,-0.055264610797166824
0.5,45.0,45.0,Summer,25.5,0.004295468330383301
0.5,45.0,45.0,Winter,25.0,-0.010266266763210297
0.5,45.0,45.0,Spring,25.5,-0.024350028485059738
0.5,45.0,45.0,Autumn,25.5,0.018503224477171898
0.5,50.0,10.0,Summer,26.5,-0.0368620790541172
0.5,50.0,10.0,Winter,26.0,-0.03749949112534523
0.5,50.0,10.0,Spring,27.0,-0.12744185328483582
0.5,50.0,10.0,Autumn,26.5,-0.011442560702562332
0.5,50.0,15.0,Summer,26.5,0.011690434068441391
0.5,50.0,15.0,Winter,26.5,0.022891808301210403
0.5,50.0,15.0,Spring,26.5,-0.04456881806254387
0.5,50.0,15.0,Autumn,26.5,-0.0354195199906826
0.5,50.0,20.0,Summer,26.5,0.056168925017118454
0.5,50.0,20.0,Winter,26.5,0.004150062799453735
0.5,50.0,20.0,Spring,26.5,0.01564055308699608
0.5,50.0,20.0,Autumn,26.5,-0.019852284342050552
0.5,50.0,25.0,Summer,26.5,0.058982282876968384
0.5,50.0,25.0,Winter,26.0,-0.035758037120103836
0.5,50.0,25.0,Spring,26.0,0.006338540464639664
0.5,50.0,25.0,Autumn,26.5,0.0794946551322937
0.5,50.0,30.0,Summer,26.0,-0.017945241183042526
0.5,50.0,30.0,Winter,26.0,0.0005131326615810394
0.5,50.0,30.0,Spring,26.0,0.07599568367004395
0.5,50.0,30.0,Autumn,26.0,-0.09383003413677216
0.5,50.0,35.0,Summer,26.0,0.11197017133235931
0.5,50.0,35.0,Winter,26.0,0.04683734476566315
0.5,50.0,35.0,Spring,25.5,-0.09964589774608612
0.5,50.0,35.0,Autumn,26.0,0.006125662475824356
0.5,50.0,40.0,Summer,25.5,-0.14093893766403198
0.5,50.0,40.0,Winter,25.5,0.04379567876458168
0.5,50.0,40.0,Spring,25.5,-0.02941640093922615
0.5,50.0,40.0,Autumn,25.5,-0.09397293627262115
0.5,50.0,45.0,Summer,25.5,0.03091438114643097
0.5,50.0,45.0,Winter,25.0,-0.004189204424619675
